,id_str,text,lang,created_at,in_reply_to_status_id_str,in_reply_to_user_id_str,in_reply_to_screen_name,"('user', 'id_str')"
0,737251998156738561,Lufthansa cancels flights to Venezuela https://t.co/jHAbyMxV9i,en,Mon May 30 11:59:08 +0000 2016,,,,89191902
1,737252006193045505,Lufthansa cancels flights to Venezuela https://t.co/BXRFAFbjoL #econ #mises #keynes,en,Mon May 30 11:59:10 +0000 2016,,,,516487830
2,737252009057865728,"Lufthansa suspende vuelo de Caracas a Fráncfort por ""actuales dificultades económicas"" https://t.co/6TOJ7ATKet https://t.co/czsFfcLugp",es,Mon May 30 11:59:11 +0000 2016,,,,2380794104
3,737252010844655616,RT @L0Mun: Les pilotes #AirFrance ont voté une grève longue à 68% #SNPL à l'aube de l' #EURO2016 https://t.co/peVXT7i7TL,fr,Mon May 30 11:59:11 +0000 2016,,,,4841289484
4,737252022232190976,"RT @domjoly: lovely email back from @easyJet hoping that threat of being punched in the face by drunk father wouldn't ""put me off flying wi…",en,Mon May 30 11:59:14 +0000 2016,,,,463449589
5,737252036807434240,@easyJet can you please answer us. Now delay is almost 3 hours!! WTF !! What time do we need to be at airport https://t.co/GBBHrz4NTd,en,Mon May 30 11:59:17 +0000 2016,737235338800795648,20778820,federilli,20778820
6,737252039747633153,"RT @domjoly: lovely email back from @easyJet hoping that threat of being punched in the face by drunk father wouldn't ""put me off flying wi…",en,Mon May 30 11:59:18 +0000 2016,,,,617571774
7,737252059712520193,Skyteam partner KLM to stop flying 747 jets. A sad day for #AVgeeks like me. - Renés Points https://t.co/PQDeRRmMQh,en,Mon May 30 11:59:23 +0000 2016,,,,2949886534
8,737252073272705024,Lufthansa приостанавливает сообщение с Венесуэлой из-за экономических проблем,ru,Mon May 30 11:59:26 +0000 2016,,,,4657069577
9,737252075457925120,RT @libertaddigital: Lufthansa deja de volar a Venezuela https://t.co/dCoZDkUtFp,ro,Mon May 30 11:59:26 +0000 2016,,,,2768250322
10,737252083070558208,RT @ORGCON: Met @klm en @SportDrenthe naar de @UCI_cycling in Zwitserland voor mogelijk WK in Drenthe. https://t.co/HPvUouYm3N,nl,Mon May 30 11:59:28 +0000 2016,,,,113115274
11,737252102305665024,RT @orangenewsfr: #AirFrance : le syndicat majoritaire @snplafalpa vote le principe du grève longue. https://t.co/D04BsYcr7K https://t.co/E…,fr,Mon May 30 11:59:33 +0000 2016,,,,601121631
12,737252164297428992,telegraaf: Veiligheidsbaas KLM weg https://t.co/rs18I6jpn7 door ytekedejong #NLNieuwsAlert,nl,Mon May 30 11:59:48 +0000 2016,,,,2468062257
13,737252166503682048,"Geneva, Switzerland to Entebbe, Uganda for only €314 roundtrip with EtihadAirways

https://t.co/f5LKHnmoJl https://t.co/NM83rjPrpK",en,Mon May 30 11:59:48 +0000 2016,,,,4585092327
14,737252178042191872,From our @Delta flight in AUS being severely delayed yesterday to our @British_Airways flight to AMS being cancelled today. 😤 DONE.,en,Mon May 30 11:59:51 +0000 2016,,,,2756075527
15,737252186980245504,Lufthansa suspende voos para a Venezuela #Finanças #Forex https://t.co/VLQXfbn8sH,pt,Mon May 30 11:59:53 +0000 2016,,,,2754268514
16,737252194806865920,RT @morandiniblog: Air France: Les pilotes du syndicat majoritaire ont voté le principe d'une grève longue #airfrance https://t.co/IkdfgUyk…,fr,Mon May 30 11:59:55 +0000 2016,,,,715969880688869377
17,737252198665621504,#Thrilling #Music for #TheJetSet #TheDepartureLounge https://t.co/Uihhw9kVYZ @AeroportNice @Gatwick_Airport @easyJet https://t.co/F7ZM6OvXZl,und,Mon May 30 11:59:56 +0000 2016,,,,3031255457
18,737252225840484352,"@easyJet this message should have said ""flight overbooked - here are your other options"". Now won't get there today https://t.co/5R2DZgQU0S",en,Mon May 30 12:00:02 +0000 2016,,38676903,easyJet,282607502
19,737252243213324289,Mais pourquoi ? :( https://t.co/A5prLeKSpr,fr,Mon May 30 12:00:06 +0000 2016,,,,1746974252
20,737252252948287488,Thanks to @VirginAtlantic for getting us to the UK safely! Let's go have some fun! https://t.co/Huoe3emzbE,en,Mon May 30 12:00:09 +0000 2016,,,,542223747
21,737252257184534528,"@easyJet flight delayed to Malaga by 4 hours - still waiting for refreshments vouchers, will we actually get them before the plane departs?",en,Mon May 30 12:00:10 +0000 2016,,38676903,easyJet,219755573
22,737252257738153984,Στον αέρα στην κυριολεξία το Euro 2016! Απεργία διαρκείας από τους πιλότους της Air France! https://t.co/pdtEHvDOlK https://t.co/FlxzWuiCxJ,el,Mon May 30 12:00:10 +0000 2016,,,,204288105
23,737252261152198661,"Generation @easyJet Pilot Training Programme is open for applications 

APPLY TODAY

https://t.co/x38v73Kutt https://t.co/MGVSDVl3Ev",en,Mon May 30 12:00:11 +0000 2016,,,,228675861
24,737252269591171072,Lufthansa can't soar until its costs plummet #business #airlines  #startupfinance #stocks https://t.co/qqonvGlW2Z https://t.co/Mt3MJV8ZeS,en,Mon May 30 12:00:13 +0000 2016,,,,1185076327
25,737252273764601856,RT @DiarioTalCual: VIAJAR ESTÁ DÍFICIL. Lufthansa anunció cese de operaciones en Caracas a partir de junio https://t.co/s78WnKOxmd https://…,es,Mon May 30 12:00:14 +0000 2016,,,,702611555616210946
26,737252275937284096,RT @DiarioTalCual: VIAJAR ESTÁ DÍFICIL. Lufthansa anunció cese de operaciones en Caracas a partir de junio https://t.co/s78WnKOxmd https://…,es,Mon May 30 12:00:14 +0000 2016,,,,4840678761
27,737252283197489152,"RT @GakuTamaki: #5月を写真4枚で振り返る

①タイ航空 A380/HS-TUE
②エバー航空 B773/B-16726
③デルタ航空 B744/N662US
④KLMオランダ航空 B789/PH-BHF

#関西国際空港 
#KIX https://t.co/…",ja,Mon May 30 12:00:16 +0000 2016,,,,3001499264
28,737252282463617024,Lufthansa cancela los vuelos a Caracas por el caos económico.Por @ldoncel https://t.co/jjKEf5aIBA https://t.co/ttZx6eJ0Jo,es,Mon May 30 12:00:16 +0000 2016,,,,202286453
29,737252286355935232,@Schiphol @KLM @Delta over 2 hours so far on KL 1575,en,Mon May 30 12:00:17 +0000 2016,737251793143529472,8279892,Schiphol,732774813220147200
30,737252295595806720,@British_Airways I want to book a ticket now. Can you please help me on that? I want to carry 3 x 23kg baggage.,en,Mon May 30 12:00:19 +0000 2016,737215395904380930,4614279913,__koushik,4614279913
31,737252313325174784,All Lufthansa Flights to Venezuela to be Suspended - https://t.co/OffXwXGQ2e https://t.co/M1Hyg317Mp,en,Mon May 30 12:00:23 +0000 2016,,,,3255829463
32,737252322800218112,RT @Ryanair: COMPETITION TIME!Share a pic of you with an onboard purchase today to WIN a €100 Flight Voucher RT #RyanairInflight https://t.…,en,Mon May 30 12:00:25 +0000 2016,,,,56223647
33,737252325971103744,At German #Lichtdesign Preis 2016 we featued as partner for winning project #IOCC @lufthansa https://t.co/kbqxYnodiv https://t.co/iWXGmtloq1,en,Mon May 30 12:00:26 +0000 2016,,,,1322577450
34,737252334883868673,"Lufthansa sospende i voli verso il Venezuela 

=&gt; https://t.co/to1HQfQe4d 

via @webitmag",it,Mon May 30 12:00:28 +0000 2016,,,,2328534296
35,737252347986993152,@British_Airways great... Departure board still says that it's on time......,en,Mon May 30 12:00:31 +0000 2016,737218230620688384,277179452,CANG3LI,277179452
